NAME,DIALECT,GLOTTOCODE,ISO
Batek_Deq_Koh,Batek Deq Koh,bate1262,btq
Batek_Deq_Terengganu,Batek Deq Terengganu,bate1262,btq
Batek_Teq,Batek Teq,bate1262,btq
Batek_Teh_Lebir,Batek Teh Lebir,bate1262,btq
Batek_Teh_Taku,Batek Teh Taku,bate1262,btq
Menriq_Lah,Menriq Lah,minr1238,mnq
Menriq_Rual,Menriq Rual,minr1238,mnq
Jahai_Banun,Jahai Banun,jeha1242,jhi
Jahai_Rual,Jahai Rual,jeha1242,jhi
Kensiw_Kedah,Kensiw Kedah,kens1248,kns
Kintaq,Kintaq,kint1239,knq
Kensiw_Perak,Kensiw Perak,kens1248,kns
Ten'en_Paborn,Tenen Paborn,tong1308,tnz
Ten'en_Palian,Tenen Palian,tong1308,tnz
Ceq_Wong,Ceq Wong,chew1245,cwg
Jah_Hut,Jah Hut,jahh1242,jah
Lanoh_Kertei,Lanoh Kertei,lano1248,lnh
Semnam_Bal,Semnam Bal,semn1250,ssm
Semnam_Malau,Semnam Malau,sema1250,ssm
Temiar_Kelantan,Temiar Kelantan,temi1246,tea
Temiar_Perak,Temiar Perak,teim1246,tea
Semai_Kampar,Semai Kampar,sema1266,sea
Semai_Ringlet,Semai Ringlet,sema1266,sea
Kammu,Kammu,khmu1256,kjg
Khmer_Siem_Reap,Khmer Siem Reap,cent1989,khm
Khmer_Surin,Khmer Surin,suri1265,kxm
Mah_Meri,Mah Meri,besi1244,mhe
Semaq_Beri_Berua,Semaq Beri Brwe,sema1265,szc
Semaq_Beri_Jaboy,Semaq Beri Jaboy,sema1265,szc
Semelai,Semelai,seme1247,sza
Maniq,Maniq,tong1308,tnz
Mon,Mon,monn1258,mnw
